id,name_en,element_primary,element_secondary,material,color,image,function,description,rarity,level,allowed,glow_color,model
amazonite,Amazonite,water,,crystal,blue,amazonite.jpeg,STANDARD,"Adjusts water dynamics by matching impedance at ports, improving transfer efficiency under mismatched interfaces.",common,1,1,#4da6ff,beads
amber,Amber,earth,,crystal,yellow,amber.jpeg,PREMIUM,"Calibrates earth dynamics by anchoring reference frame, improving spatial orientation under shifting reference inputs.",common,1,1,#e6b800,beads
amethyst,Amethyst,water,,crystal,purple,amethyst.jpeg,STANDARD,"Adjusts water dynamics by scheduling back-pressure relief, improving queue stability under sudden downstream blocks.",common,1,1,#4da6ff,beads
amethyst_phantom,Amethyst Phantom,water,,crystal,purple,amethyst_phantom.jpeg,STANDARD,"Adjusts water dynamics by deepening retention time, improving equilibration quality under short-circuit paths.",common,1,1,#4da6ff,beads
aquamarine,Aquamarine,water,,crystal,blue,aquamarine.jpeg,STANDARD,"Shifts water dynamics by thinning boundary layers, improving exchange rate under diffusion-limited zones.",common,1,1,#4da6ff,beads
banded_agate,Banded Agate,earth,,crystal,yellow,banded_agate.jpeg,STANDARD,"Calibrates earth dynamics by thickening damping layer, improving vibration attenuation under impulsive disturbances.",common,1,1,#e6b800,beads
beeswax_amber,Beeswax Amber,earth,,crystal,yellow,beeswax_amber.jpeg,PREMIUM,"Calibrates earth dynamics by compacting soil matrix, improving bearing capacity under loose substrate.",common,1,1,#e6b800,beads
blood_drop_cordierite,Blood Drop Cordierite,earth,,crystal,yellow,blood_drop_cordierite.jpeg,STANDARD,"Calibrates earth dynamics by locking grain interlock, improving shear resistance under cyclic shear.",common,1,1,#e6b800,beads
blue_apatite,Blue Apatite,water,,crystal,blue,blue_apatite.jpeg,STANDARD,"Modulates water dynamics by containing overshoot in level, improving level control under surge inflows.",common,1,1,#4da6ff,beads
blue_chalcedony,Blue Chalcedony,water,,crystal,blue,blue_chalcedony.jpeg,STANDARD,"Modulates water dynamics by pre-conditioning input temperature, improving thermal equilibrium under mixed-phase feeds.",common,1,1,#4da6ff,beads
blue_kyanite,Blue Kyanite,water,,crystal,blue,blue_kyanite.jpeg,STANDARD,"Calibrates water dynamics by routing return paths cleanly, improving recirculation hygiene under closed-loop drift.",common,1,1,#4da6ff,beads
blue_lace_agate,Blue Lace Agate,water,,crystal,blue,blue_lace_agate.jpeg,STANDARD,"Shifts water dynamics by decoupling oscillatory modes, improving mode stability under resonant coupling.",common,1,1,#4da6ff,beads
blue_lace_stone,Blue Lace Stone,water,,crystal,blue,blue_lace_stone.jpeg,STANDARD,"Modulates water dynamics by splitting multi-phase flow, improving phase separation under emulsified mixtures.",common,1,1,#4da6ff,beads
blue_tiger_eye,Blue Tiger Eye,water,,crystal,blue,blue_tiger_eyes.JPG,STANDARD,"Adjusts water dynamics by injecting coagulant dose, improving flocculation rate under colloidal stability.",common,1,1,#4da6ff,beads
blue_topaz,Blue Topaz,water,,crystal,blue,blue_topaz.jpeg,STANDARD,"Tunes water dynamics by tracing dye transit time, improving hydraulic residence under plug-flow deviation.",common,1,1,#4da6ff,beads
carnelian,Carnelian,fire,,crystal,red,carnelian.jpeg,STANDARD,"Calibrates fire dynamics by aligning drive vectors, improving task completion rate under parallel competing inputs.",common,1,1,#ff4d4d,beads
cherry_blossom_agate,Cherry Blossom Agate,fire,,crystal,red,cherry_blossom_agate.jpeg,STANDARD,"Shifts fire dynamics by compressing ramp-up phase, improving time-to-steady-state under cold-start operation.",common,1,1,#ff4d4d,beads
chrysoberyl_cat_eye,Chrysoberyl Cat Eye,earth,,crystal,yellow,chrysoberyl_cat_eye.jpeg,STANDARD,"Calibrates earth dynamics by venting pore pressure, improving effective stress under undrained loading.",common,1,1,#e6b800,beads
cinnabar,Cinnabar,fire,,crystal,red,cinnabar.jpeg,STANDARD,"Adjusts fire dynamics by shaping duty-cycle envelope, improving peak-to-mean ratio under pulsed load patterns.",common,1,1,#ff4d4d,beads
citrine,Citrine,earth,,crystal,yellow,citrine.jpeg,STANDARD,"Modulates earth dynamics by capping contaminant plume, improving migration control under advective transport.",common,1,1,#e6b800,beads
clear_quartz,Clear Quartz,metal,,crystal,white,clear_quartz.jpeg,STANDARD,"Calibrates metal dynamics by aligning reference planes, improving ground integrity under common-mode noise.",common,1,1,#dddddd,clear
conch_pearl,Conch Pearl,water,,crystal,blue,conch_pearl.jpeg,COLLECTOR,"Calibrates water dynamics by sampling isokinetically, improving representative capture under skewed velocity profiles.",common,1,1,#4da6ff,beads
emerald,Emerald,wood,,crystal,green,emerald.jpeg,STANDARD,"Adjusts wood dynamics by synchronizing seasonal cycles, improving cadence alignment under irregular seasonality.",common,1,1,#4dff88,beads
fire_stone,Fire Stone,fire,,crystal,red,fire_stone.jpeg,STANDARD,"Calibrates fire dynamics by balancing feedforward gain, improving tracking accuracy under setpoint changes.",common,1,1,#ff4d4d,roughstone
garnet,Garnet,fire,,crystal,red,garnet.jpeg|garnet_01.jpeg,STANDARD,"Calibrates fire dynamics by limiting thermal overshoot, improving safe operating margin under step-up transients.",common,1,1,#ff4d4d,beads
